"notation","title","description","id","title_en","description_en"
"1","Kommunikative Fertigkeiten","Bis zum Mittleren Schulabschluss erreichen die Schülerinnen und Schüler im Wesentlichen das Niveau B1 des Gemeinsamen europäischen Referenzrahmens. In Abhängigkeit von den Eigenbedingungen schulischen Fremdsprachenlernens sind jedoch in einigen Kompetenzbereichen höhere oder niedrigere Anforderungsniveaus etabliert, die hier entsprechend berücksichtigt wurden (z. B. mit der Ausweisung von B1+ oder A2). Das Niveau des Referenzrahmens – soweit dort ausgewiesen – ist für jeden Standard in Klammern angegeben.","s6b",,
"1.1","""""Hör- und Hör-/Sehverstehen","Die Schülerinnen und Schüler können unkomplizierte Sachinformationen über gewöhnliche alltags- oder berufsbezogene Themen verstehen und dabei die Hauptaussagen und Einzelinformationen erkennen, wenn in deutlich artikulierter Standardsprache gesprochen wird (B1+).\n\n Die Schülerinnen und Schüler können""""","a6q",,
"1.1.1","im Allgemeinen den Hauptpunkten von längeren Gesprächen folgen, die in ihrer Gegenwart geführt werden (B1)","","b3u",,
"1.1.2","Vorträge verstehen, wenn die Thematik vertraut und die Darstellung unkompliziert und klar strukturiert ist (B1+),","","y6h",,
"1.1.3","Ankündigungen und Mitteilungen zu konkreten Themen verstehen, die in normaler Geschwindigkeit in Standardsprache gesprochen werden (B2),","","h4t",,
"1.1.4","vielen Filmen folgen, deren Handlung im Wesentlichen durch Bild und Aktion getragen wird (B1).","","u4p",,
"1.1.5","den Informationsgehalt der meisten Rundfunksendungen und Tonaufnahmen über Themen von persönlichem Interesse verstehen (B1+),","","f3t",,
"1.1.6","das Wesentliche in vielen Fernsehsendungen zu Themen von persönlichem Interesse, z. B. Interviews, kurze Vorträge oder Nachrichtensendungen verstehen (B1+).","","c6s",,
"1.2","Leseverstehen","""""Die Schülerinnen und Schüler können weitgehend selbstständig verschiedene Texte aus Themenfeldern ihres Interessen- und Erfahrungsbereiches lesen und verstehen (B1+). \n\nDie Schülerinnen und Schüler können""""","a9s",,
"1.2.1","Korrespondenz lesen, die sich auf das eigene Interessengebiet bezieht und die wesentliche Aussage erfassen (B2),","","b6y",,
"1.2.2","klar formulierte Anweisungen, unkomplizierte Anleitungen, Hinweise und Vorschriften verstehen (B1/ B2),","","d6v",,
"1.2.3","längere Texte nach gewünschten Informationen durchsuchen und Informationen aus verschiedenen Texten zusammentragen, um eine bestimmte Aufgabe zu lösen (B1+),","","y6u",,
"1.2.4","in kürzeren literarischen Texten (z. B. Short Stories) die wesentlichen Aussagen erfassen und diese zusammentragen, um eine bestimmte Aufgabe zu lösen (B1),","","a7c",,
"1.2.5","die Aussagen einfacher literarischer Texte verstehen,","","x9h",,
"1.2.6","in klar geschriebenen argumentativen Texten zu vertrauten Themen die wesentlichen Schlussfolgerungen erkennen, z. B. in Zeitungsartikeln (B1/ B1+).","","a5x",,
"1.3","Sprechen - An Gesprächen teilnehmen","Die Schülerinnen und Schüler können an Gesprächen über vertraute Themen teilnehmen, persönliche Meinungen ausdrücken und Informationen austauschen (B1). Die Schülerinnen und Schüler können","t2e",,
"1.3.1","soziale Kontakte herstellen durch Begrüßung, Abschied, Sich-Vorstellen, Danken und Höflichkeitsformeln verwenden (A2),","","c5e",,
"1.3.2","Gefühle wie Überraschung, Freude, Trauer, Interesse und Gleichgültigkeit ausdrücken und auf entsprechende Gefühlsäußerungen reagieren (B1),","","r9f",,
"1.3.3","ein Gespräch oder eine Diskussion beginnen, fortführen und auch bei sprachlichen Schwierigkeiten aufrechterhalten (B1),","","z6b",,
"1.3.4","die meisten Dienstleistungsgespräche und routinemäßigen Situationen bewältigen, z. B. Umgang mit öffentlichen Einrichtungen während eines Auslandsaufenthaltes, Einkauf, Essen (B1),","","d2y",,
"1.3.5","in einem Interview konkrete Auskünfte geben, z. B. in Bewerbungsgesprächen (B1+),","","c2x",,
"1.3.6","eine kurze Geschichte, einen Artikel, einen Vortrag, ein Interview oder eine Dokumentarsendung zu vertrauten Themen einem Gesprächspartner vorstellen und Informationsfragen dazu beantworten (B1+),","","u5a",,
"1.3.7","in Gesprächen und Diskussionen kurz zu den Standpunkten anderer Stellung nehmen und höflich Überzeugungen und Meinungen, Zustimmung und Ablehnung ausdrücken (B1/ B1+).","","f2g",,
"1.4","Sprechen - Zusammenhängendes Sprechen","""""Die Schülerinnen und Schüler können Erfahrungen und Sachverhalte zusammenhängend darstellen, z. B. beschreiben, berichten, erzählen und bewerten (B1).\n\nDie Schülerinnen und Schüler können""""","h5d",,
"1.4.1","mit einfachen Mitteln Gegenstände und Vorgänge des Alltags beschreiben, z. B. Rezepte, Wegbeschreibungen, Spielregeln, Bedienungsanleitungen (A2),","","b3d",,
"1.4.2","eine vorbereitete Präsentation zu einem vertrauten Thema vortragen, wobei die Hauptpunkte hinreichend präzise erläutert werden (B1),","","g2d",,
"1.4.3","für Ansichten, Pläne oder Handlungen kurze Begründungen oder Erklärungen geben (B1).","","d9b",,
"1.5","Schreiben","""""Die Schülerinnen und Schüler können zusammenhängende Texte zu vertrauten Themen aus ihrem Interessengebiet verfassen (B1).\n\nDie Schülerinnen und Schüler können""""","u3r",,
"1.5.1","eine Nachricht notieren, wenn jemand nach Informationen fragt oder ein Problem erläutert (B1+),","","z4f",,
"1.5.2","in persönlichen Briefen Mitteilungen, einfache Informationen und Gedanken darlegen (B1),","","e9v",,
"1.5.3","einfache standardisierte Briefe und E-Mails adressatengerecht formulieren, z. B. Anfragen, Bewerbungen (B1),","","z2r",,
